number,title,type,state,author,url,created_at,updated_at,organization,repository,contributor
4080,chore(deps-dev): bump the python-dependencies group across 1 directory with 2 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4080,2026-06-18T04:29:03Z,2026-06-18T14:49:57Z,zarr-developers,zarr-python,d-v-b
4081,chore(deps): bump bleach from 6.3.0 to 6.4.0,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4081,2026-06-18T11:39:23Z,2026-06-18T12:26:34Z,zarr-developers,zarr-python,d-v-b
4088,chore(deps): bump msgpack from 1.1.2 to 1.2.1,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4088,2026-06-22T10:08:54Z,2026-06-22T11:23:47Z,zarr-developers,zarr-python,d-v-b
4089,chore(deps): bump pydantic-settings from 2.14.1 to 2.14.2,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4089,2026-06-22T10:09:05Z,2026-06-22T10:41:17Z,zarr-developers,zarr-python,d-v-b
4092,chore(deps-dev): bump the python-dependencies group with 4 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4092,2026-06-22T11:14:48Z,2026-06-25T04:29:23Z,zarr-developers,zarr-python,d-v-b
4094,chore: test correctness fixes,PR,closed,d-v-b,https://github.com/zarr-developers/zarr-python/pull/4094,2026-06-22T17:28:36Z,2026-06-25T20:11:33Z,zarr-developers,zarr-python,maxrjones
4097,chore(deps): bump the actions group with 3 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4097,2026-06-25T04:24:34Z,2026-06-25T09:05:43Z,zarr-developers,zarr-python,d-v-b
4103,Fix save/load for scalar arrays,PR,closed,gaoflow,https://github.com/zarr-developers/zarr-python/pull/4103,2026-06-26T13:55:14Z,2026-06-26T14:14:49Z,zarr-developers,zarr-python,d-v-b
4106,docs: add reviewer guidance and author attestation to PR template,PR,closed,maxrjones,https://github.com/zarr-developers/zarr-python/pull/4106,2026-06-26T16:59:01Z,2026-06-29T16:25:38Z,zarr-developers,zarr-python,d-v-b
380,element order of the shard index in the `sharding_indexed` codec,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-specs/issues/380,2026-05-21T07:53:40Z,2026-05-21T08:28:53Z,zarr-developers,zarr-specs,d-v-b
